iter	RMSE	RMSE
92	1.618813986	1.618813986
93	1.614884725	1.614884725
94	1.613788058	1.613788058
95	1.612464013	1.612464013
96	1.610933363	1.610933363
97	1.608068924	1.608068924
98	1.6062628	1.6062628
99	1.604283656	1.604283656
100	1.602967769	1.602967769
101	1.602028098	1.602028098
102	1.600385034	1.600385034
103	1.598179899	1.598179899
104	1.596675956	1.596675956
105	1.595123081	1.595123081
106	1.594516593	1.594516593
107	1.593753543	1.593753543
108	1.592626448	1.592626448
109	1.590967148	1.590967148
110	1.589974595	1.589974595
111	1.588526125	1.588526125
112	1.588070901	1.588070901
113	1.584538594	1.584538594
114	1.582239018	1.582239018
115	1.580584379	1.580584379
116	1.577255318	1.577255318
117	1.573526575	1.573526575
118	1.570692594	1.570692594
119	1.569822212	1.569822212
120	1.565886558	1.565886558
121	1.564391182	1.564391182
122	1.563280921	1.563280921
123	1.562270882	1.562270882
124	1.561188308	1.561188308
125	1.559272853	1.559272853
126	1.557240374	1.557240374
127	1.556367252	1.556367252
128	1.553146747	1.553146747
129	1.550634133	1.550634133
130	1.549378009	1.549378009
131	1.548397813	1.548397813
132	1.547245858	1.547245858
133	1.546855307	1.546855307
134	1.546420808	1.546420808
135	1.543166056	1.543166056
136	1.542809844	1.542809844
137	1.542272273	1.542272273
138	1.538438351	1.538438351
139	1.538115944	1.538115944
140	1.533500438	1.533500438
141	1.53295486	1.53295486
142	1.532524161	1.532524161
143	1.532252393	1.532252393
144	1.532211418	1.532211418
145	1.531561053	1.531561053
146	1.529791151	1.529791151
147	1.52859285	1.52859285
148	1.527524516	1.527524516
149	1.526996952	1.526996952
150	1.525094615	1.525094615
151	1.524782057	1.524782057
152	1.522434831	1.522434831
153	1.52164713	1.52164713
154	1.521467874	1.521467874
155	1.521108843	1.521108843
156	1.520547778	1.520547778
157	1.519754207	1.519754207
158	1.518834096	1.518834096
159	1.516850536	1.516850536
160	1.51654351	1.51654351
161	1.516152585	1.516152585
162	1.515857406	1.515857406
163	1.515733985	1.515733985
164	1.511555892	1.511555892
165	1.511187852	1.511187852
166	1.510273182	1.510273182
167	1.5098669	1.5098669
168	1.505592702	1.505592702
169	1.505291795	1.505291795
170	1.500907162	1.500907162
171	1.500751858	1.500751858
172	1.500518063	1.500518063
173	1.50032198	1.50032198
174	1.499895425	1.499895425
175	1.499388067	1.499388067
176	1.499078171	1.499078171
177	1.498887802	1.498887802
178	1.498545554	1.498545554
179	1.498388227	1.498388227
180	1.498063427	1.498063427
181	1.497963571	1.497963571
182	1.497725458	1.497725458
183	1.492203471	1.492203471
184	1.489205711	1.489205711
185	1.488791127	1.488791127
186	1.488330311	1.488330311
187	1.4880341	1.4880341
188	1.487678518	1.487678518
189	1.481944798	1.481944798
190	1.478643421	1.478643421
191	1.478126443	1.478126443
192	1.476531102	1.476531102
193	1.475898728	1.475898728
194	1.475690143	1.475690143
195	1.475411744	1.475411744
196	1.475092808	1.475092808
197	1.474800313	1.474800313
198	1.474496425	1.474496425
199	1.474114059	1.474114059
200	1.473605998	1.473605998
201	1.472989591	1.472989591
202	1.472640384	1.472640384
203	1.466714314	1.466714314
204	1.466402034	1.466402034
205	1.46607187	1.46607187
206	1.465750516	1.465750516
207	1.460851376	1.460851376
208	1.460599565	1.460599565
209	1.456498041	1.456498041
210	1.455528343	1.455528343
211	1.451980128	1.451980128
212	1.451739023	1.451739023
213	1.451503613	1.451503613
214	1.451300797	1.451300797
215	1.446291134	1.446291134
216	1.445946788	1.445946788
217	1.445727072	1.445727072
218	1.445302162	1.445302162
219	1.444993011	1.444993011
220	1.44007667	1.44007667
221	1.439698057	1.439698057
222	1.439392617	1.439392617
223	1.438760629	1.438760629
224	1.436297652	1.436297652
225	1.431429186	1.431429186
226	1.425570158	1.425570158
227	1.420994064	1.420994064
228	1.419717194	1.419717194
229	1.415111149	1.415111149
230	1.414946968	1.414946968
231	1.414686458	1.414686458
232	1.414087934	1.414087934
233	1.411318853	1.411318853
234	1.40674785	1.40674785
235	1.404163777	1.404163777
236	1.403893561	1.403893561
237	1.403349219	1.403349219
238	1.403115953	1.403115953
239	1.40285593	1.40285593
240	1.400664818	1.400664818
241	1.400486342	1.400486342
242	1.398235764	1.398235764
243	1.397678161	1.397678161
244	1.39715252	1.39715252
245	1.396876782	1.396876782
246	1.396646774	1.396646774
247	1.396458367	1.396458367
248	1.395016938	1.395016938
249	1.391540685	1.391540685
250	1.391044361	1.391044361
251	1.390610037	1.390610037
252	1.389124388	1.389124388
253	1.3889537	1.3889537
254	1.388803786	1.388803786
255	1.388592846	1.388592846
256	1.38761272	1.38761272
257	1.386667389	1.386667389
258	1.385937093	1.385937093
259	1.385741913	1.385741913
260	1.384817972	1.384817972
261	1.384389679	1.384389679
262	1.383376639	1.383376639
263	1.379543098	1.379543098
264	1.378452528	1.378452528
265	1.378260174	1.378260174
266	1.377810498	1.377810498
267	1.374174365	1.374174365
268	1.373984056	1.373984056
269	1.373836727	1.373836727
270	1.373635897	1.373635897
271	1.373351466	1.373351466
272	1.373048604	1.373048604
273	1.369222699	1.369222699
274	1.365981206	1.365981206
275	1.365801773	1.365801773
276	1.365656252	1.365656252
277	1.365518258	1.365518258
278	1.363196098	1.363196098
279	1.358346103	1.358346103
280	1.355962004	1.355962004
281	1.355389154	1.355389154
282	1.351072868	1.351072868
283	1.350834505	1.350834505
284	1.350699388	1.350699388
285	1.350563314	1.350563314
286	1.350259593	1.350259593
287	1.350123278	1.350123278
288	1.349214891	1.349214891
289	1.347055281	1.347055281
290	1.346341014	1.346341014
291	1.346235793	1.346235793
292	1.346134626	1.346134626
293	1.344398214	1.344398214
294	1.343732755	1.343732755
295	1.343630358	1.343630358
296	1.343096729	1.343096729
297	1.342961059	1.342961059
298	1.338702472	1.338702472
299	1.338618036	1.338618036
300	1.337725647	1.337725647
301	1.336923227	1.336923227
302	1.336837132	1.336837132
303	1.336492718	1.336492718
304	1.33639007	1.33639007
305	1.335746631	1.335746631
306	1.33565066	1.33565066
307	1.334439583	1.334439583
308	1.33283065	1.33283065
309	1.332022842	1.332022842
310	1.33193875	1.33193875
311	1.331852103	1.331852103
312	1.330123273	1.330123273
313	1.330024	1.330024
314	1.329918866	1.329918866
315	1.329602403	1.329602403
316	1.329005247	1.329005247
317	1.328552148	1.328552148
318	1.326707615	1.326707615
319	1.326618155	1.326618155
320	1.326082439	1.326082439
321	1.325737508	1.325737508
322	1.325159541	1.325159541
323	1.325052789	1.325052789
324	1.322084489	1.322084489
325	1.321627812	1.321627812
326	1.317832946	1.317832946
327	1.317651257	1.317651257
328	1.317557813	1.317557813
329	1.315799398	1.315799398
330	1.31554542	1.31554542
331	1.315449362	1.315449362
332	1.314863905	1.314863905
333	1.314778061	1.314778061
334	1.313924104	1.313924104
335	1.313842321	1.313842321
336	1.313566097	1.313566097
337	1.313436845	1.313436845
338	1.313365497	1.313365497
339	1.312905797	1.312905797
340	1.312832304	1.312832304
341	1.311826173	1.311826173
342	1.311762396	1.311762396
343	1.308986566	1.308986566
344	1.308625211	1.308625211
345	1.308342514	1.308342514
346	1.306875571	1.306875571
347	1.306643549	1.306643549
348	1.306167215	1.306167215
349	1.304841823	1.304841823
350	1.304736572	1.304736572
351	1.304677709	1.304677709
352	1.304284794	1.304284794
353	1.303820412	1.303820412
354	1.303674601	1.303674601
355	1.303357059	1.303357059
356	1.303189819	1.303189819
357	1.300624655	1.300624655
358	1.299028002	1.299028002
359	1.298884759	1.298884759
360	1.298613673	1.298613673
361	1.298484065	1.298484065
362	1.29781298	1.29781298
363	1.29765024	1.29765024
364	1.297591757	1.297591757
365	1.297542025	1.297542025
366	1.297494462	1.297494462
367	1.297030161	1.297030161
368	1.296896975	1.296896975
369	1.296012239	1.296012239
370	1.295588923	1.295588923
371	1.29288167	1.29288167
372	1.292047209	1.292047209
373	1.289625796	1.289625796
374	1.288632104	1.288632104
375	1.28740875	1.28740875
376	1.287194652	1.287194652
377	1.286827373	1.286827373
378	1.286567573	1.286567573
379	1.285501052	1.285501052
380	1.285440438	1.285440438
381	1.2851297	1.2851297
382	1.284975746	1.284975746
383	1.284879552	1.284879552
384	1.283973562	1.283973562
385	1.28373436	1.28373436
386	1.283443604	1.283443604
387	1.281492656	1.281492656
388	1.281423954	1.281423954
389	1.27975433	1.27975433
390	1.279558617	1.279558617
391	1.279224242	1.279224242
392	1.279149406	1.279149406
393	1.278857687	1.278857687
394	1.278495545	1.278495545
395	1.277709763	1.277709763
396	1.277227633	1.277227633
397	1.276045986	1.276045986
398	1.275892619	1.275892619
399	1.27552785	1.27552785
400	1.274895352	1.274895352
401	1.274596687	1.274596687
402	1.273387444	1.273387444
403	1.273167126	1.273167126
404	1.27271873	1.27271873
405	1.272602292	1.272602292
406	1.272288532	1.272288532
407	1.272000065	1.272000065
408	1.271942452	1.271942452
409	1.271694657	1.271694657
410	1.268784946	1.268784946
411	1.26658856	1.26658856
412	1.266371522	1.266371522
413	1.266166476	1.266166476
414	1.265947944	1.265947944
415	1.265808672	1.265808672
416	1.265582524	1.265582524
417	1.264993719	1.264993719
418	1.264208206	1.264208206
419	1.262471173	1.262471173
420	1.262229052	1.262229052
421	1.262083624	1.262083624
422	1.262008474	1.262008474
423	1.261945448	1.261945448
424	1.26153651	1.26153651
425	1.258994221	1.258994221
426	1.257507836	1.257507836
427	1.257029617	1.257029617
428	1.256751871	1.256751871
429	1.256681721	1.256681721
430	1.256500197	1.256500197
431	1.255707176	1.255707176
432	1.255338767	1.255338767
433	1.255162969	1.255162969
434	1.255030824	1.255030824
435	1.254111382	1.254111382
436	1.253944767	1.253944767
437	1.25378149	1.25378149
438	1.253655283	1.253655283
439	1.25302504	1.25302504
440	1.251540031	1.251540031
441	1.251373016	1.251373016
442	1.2504684	1.2504684
443	1.250304824	1.250304824
444	1.250179442	1.250179442
445	1.250032245	1.250032245
446	1.249504503	1.249504503
447	1.247797182	1.247797182
448	1.24704582	1.24704582
449	1.245624067	1.245624067
450	1.245479696	1.245479696
451	1.245329682	1.245329682
452	1.244678318	1.244678318
453	1.244570564	1.244570564
454	1.244478921	1.244478921
455	1.244330137	1.244330137
456	1.243950783	1.243950783
457	1.243836692	1.243836692
458	1.242901346	1.242901346
459	1.242746305	1.242746305
460	1.24168182	1.24168182
461	1.241541862	1.241541862
462	1.240585863	1.240585863
463	1.240417188	1.240417188
464	1.239676652	1.239676652
465	1.239576537	1.239576537
466	1.239076998	1.239076998
467	1.238934845	1.238934845
468	1.238827423	1.238827423
469	1.23869929	1.23869929
470	1.238178665	1.238178665
471	1.237811083	1.237811083
472	1.237699878	1.237699878
473	1.237361839	1.237361839
474	1.236733124	1.236733124
475	1.234269227	1.234269227
476	1.233970878	1.233970878
477	1.231650362	1.231650362
478	1.23076273	1.23076273
479	1.230043377	1.230043377
480	1.229916891	1.229916891
481	1.229840906	1.229840906
482	1.229125901	1.229125901
483	1.227414897	1.227414897
484	1.226943481	1.226943481
485	1.226845	1.226845
486	1.226606735	1.226606735
487	1.225929342	1.225929342
488	1.225154051	1.225154051
489	1.224515029	1.224515029
490	1.223803035	1.223803035
491	1.220453305	1.220453305
492	1.219195269	1.219195269
493	1.218626024	1.218626024
494	1.218131328	1.218131328
495	1.218088974	1.218088974
496	1.217825625	1.217825625
497	1.217534684	1.217534684
498	1.21747651	1.21747651
499	1.216323806	1.216323806
